review_id,rating,tour_name,pos_word_count,neg_word_count,total_emotion_words,found_pos_words,found_neg_words,review_text
4,5.0,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,5,1,6,"amazing, awe, delight, welcome, wonder",disappointed,"Just such an amazing experience...from Lindsey's warm welcome when we arrived to the pilots navigating the journey! I would highly recommend this tour...it is truly a once in a life time experience what will open your eyes in so many ways! Seeing the Grand Canyon from above, in all its wonder, will delight you and the learnings you will walk away with will leave you in awe! You will not be disappointed!"
18,5.0,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,6,1,7,"amazing, glad, helpful, nice, spectacular, wonderful",nervous,"Was an amazing experience. Everyone we dealt with was beyond nice and helpful. Our pilot, Noah, was wonderful and helped ease our nervous children. The overhead views were spectacular. We are so glad we made this decision instead of driving!!!"
23,5.0,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,9,1,10,"amazing, beautiful, competent, fantastic, gorgeous, kind, lovely, memorable, nice",nervous,"My family of three had an amazing experience with Captain Carla on the Signature Tour! My son and I were very nervous, but Captain Carla was so kind and competent. We departed from Sedona and enjoyed a GORGEOUS flight to the Grand Canyon. It was so nice to avoid the drive time and traffic from Sedona. Upon arrival to the Grand Canyon, we walked out of the airport and right onto our Wild Buck Hummer tour. We were able to avoid the long entry line into the National Park and cruised right into our first stop. We were able to stop at a few gift shops and see several different viewing areas of the Grand Canyon. We then had a lovely picnic lunch with a beautiful view of the Grand Canyon. It was a memorable day! Thank you to Captain Carla and our Wild Buck tour guide for the fantastic day!"
25,5.0,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,15,4,19,"assured, awe, awesome, calm, calming, comfortable, comforted, great, happy, impossible, kind, pleasure, soothing, thankful, wonderful","desperate, fear, scared, terrible","We had a once in a lifetime experience on Westwind's Signature Grand Canyon South and Ground Tour. I have a terrible fear of flying but I was desperate to be able to do this tour. If not today, when, was part of my logic. 

My husband and I arrived at Sedona Airport and watched our plane arrive and I was happy to see the size of the plane. The captain came through the gate, introduced herself  and asked if I was her guest! I told her I was and I was scared Sh**less:) Captain Carla was so kind and professional and assured me I would have a wonderful day and would be able to enjoy the flight. I was comforted by her kindness and assurances. 

Upon boarding the plane with 8 wide comfortable seats for guests I knew if I sat and buckled up I would not turn back:) I did it!

The flight to the Grand Canyon was extremely calm and I found the guide information and soothing background music of the headset extremely calming! Captain Carla interupped the voice tour multiple times to point out various additional points of initerest! Captain even checked on how I was doing mid flight which was so kind!

The first view of the Grand Canyon in the distance is awesome! As we flew around the Canyon, the pictures and videos do not do it justice of the awe you feel viewing it from above! I am so very thankful I was able to complete the tour and feel I was able to do it because of Captain Carla. The Carla Touch:)

We were transferred to BuckWild Hummer Tour for the ground portion. I will review them on their page as well. Tom was our driver, the hummer was exceptionally comfortable, we traveled with a total of 12 guests. The rows of seats are stepped so the view from each row was great, not effected at all by persons in front of you! Great set up. Tom our driver was professional, and  extremely knowledgable of all things related to The Grand Canyon park. It was a pleasure to get to know him during our 3 hour tour. He obviously loves his job and shares that feeling with his guests!

Our return flight to Sedona was a not as calm as outgoing  but Captain Carla tried to find some smoother air but it was impossible. Even with the slight occassional bumps the flight was awesome, the views are just indescribable!

Thank you to Lindsey for arranging our reservation with kindness, and professionalism. Thank you to Captain Carla, without her calming, professionalism and expertise I don't know if I could have done it. Thank you to Tom for sharing his knowledge with us and his insights to The  Grand Canyon as well as his wife who arranged all the lunches for our gourp! 

I wish I could give this tour higher than a 5*!"
26,5.0,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,5,1,6,"awesome, loved, nerve, nice, nicely",fear,"This was one of the most unique experiences I have ever had! The flight from Phoenix to the Canyon was a bit nerve wracking, due to the small aircraft. Since there were only two of us on the tour, it was private which was nice but if you have a fear of flying this would not be for you. Paul, our pilot was awesome and helped us to feel safe based on his experience.  I loved how this tour included both the aerial view and the scenery of the Canyon on the ground. My husband and I were in Arizona for a short time and wanted to make sure to make the most of our trip. This tour really allowed us to see something unique and fit into our travel plans nicely. I would highly recommend this to others if you are looking for a once in a lifetime experience to see the Grand Canyon from above, the views were priceless!"
34,5.0,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,4,1,5,"best, excellent, rushed, worth",bored,"Excellent!  Well done tour.  Went on the Ultimate Adventure and one of the best experiences ever.  Never felt pressured or rushed and yet, never waited or was bored.  Ran like a well greased machine and the staff was excellent.  You may be asking yourself if its the worth the price (as I did) but have no doubts, it will be well worth every penny!"
36,5.0,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,2,1,3,"best, promptly",bad,"Westwind is unquestionably one of the best experiences I have had in travel.  We were scheduled to fly to the Grand Canyon on December 28th.  On Christmas Eve, we saw that weather might be bad that day.  We called the office late on December 24th and they promptly rescheduled us for a private flight on December 26th.

The flight, customer service, and hiking opportunities were world-class.  We have traveled the world and this trip is on our top three bucket list, along with having dinner on the Eiffel Tower (Jules Verne) and hiking to Waipoo Falls on Kauai, Hawaii.

Thank you Westwind!"
37,1.0,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,5,4,9,"better, great, honest, hopes, surprised","awful, disappointed, hate, unfortunately","I hate to write a review in the midst of COVID for a small business, but unfortunately due to our experience I’m writing this in hopes that nobody else has the same experience. We booked a PRIVATE Grand Canyon tour. We spoke with someone over the phone on multiple occasions who explained it would be just us with the possibility of one other person (although they explained that wouldn’t be likely). When it came time for our flight, the pilot + others arrived 20 minutes late, not wearing masks and informed us there would a total of 10 of us on the tour. As you can imagine, we were pretty surprised given that wasn’t what we signed up or paid for. The pilot explained something happened with scheduling and to call Lindsey. We did so and she provided pretty awful customer service. In short she explained yes there were gonna be 10 people and if we didn’t want to go we didn’t have to but either way we weren’t getting a refund or rescheduled. 

Throughout the flight NOBODY including the guests or pilot wore a mask. Nobody suggested or asked for this to be done. This is unlawful in the state of Arizona and county of Sedona. Not only is this against the law, but put customers in great risk. I cannot believe they would allow this and be okay with this. 

I am so disappointed in the service. Highly recommend researching other options prior to booking with this company. I am sure there are other much better companies that would provide honest and safe services."
38,1.0,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,2,2,4,"ideal, worth","confusion, dissatisfied","My wife and I decided to spend Valentine’s Day in Sedona and booked an air tour of the Grand Canyon. I booked it over the phone with Lindsey whom seems to be the manager. She lead us to believe it would be just us on the plane and when we arrived we were grouped with 7 other passengers, many of which thought they were going alone as well.

When we reached out thinking there was confusion we were told they got booked on her day off. Keep in mind this is in the midst of Covid so flying on a plane with 7 strangers who NONE INCLUDING THE PILOT WERE WEARING MASKS is not ideal.

We were told we did not purchase the cancellation insurance which was never presented when I booked over the phone and we could only get 50% refunded.

So we paid $600+ to fly with a group of strangers who did not comply with any covid protocol.

The overall tour is alright although not nearly close to worth of the cost.

Extremely dissatisfied."
55,5.0,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,5,2,7,"amazing, comfortable, reassuring, relaxed, wonderful","nervous, worry","We took the flight over the Grand Canyon to test out a developing air anti collision app . I was a nervous passenger however, I had nothing to worry about thanks to our pilot Ken. He was very reassuring and ensured that I was comfortable and relaxed throughout the flight.

He was very meticulous with his checks and made the journey very comfortable ( commented by my pilot friend who was traveling with me) 
Thanks Ken for a wonderful and worry free flight. it was amazing.
Would recommend it to anyone"
