review_id,rating,num_sentences,v_first,v_last,v_peak,v_trough,a_first,a_last,a_peak,delta_v,arc_type,q_first,q_last,first_sentence,last_sentence
0,5,6,0.8122,0.2716,0.8122,0.0,0.26666666666666666,0.020000000000000004,0.26666666666666666,-0.5406,Arc 2: Sustained Awe & Joy Arc (Q1 -> Q1),Q1_Awe,Q1_Awe,We had a such a great day at the Grand Canyon!,Highly recommended tour.
1,5,6,0.6369,0.5994,0.9001,0.5994,0.09333333333333334,0.12666666666666668,0.13333333333333333,-0.03749999999999998,Arc 2: Sustained Awe & Joy Arc (Q1 -> Q1),Q1_Awe,Q1_Awe,This was by far one of the best tours I have ever been on.,"We loved this tour, would do it again in a heartbeat, and will be recommending this tour t"
2,5,3,0.4588,0.6439,0.6439,0.0,0.1,0.020000000000000004,0.22000000000000003,0.18510000000000004,Arc 2: Sustained Awe & Joy Arc (Q1 -> Q1),Q1_Awe,Q1_Awe,Been to the Grand Canyon 2 other times seen more on this trip that the other 2 combined.,++++ HIGHLY RECOMMEND IT
3,5,4,0.7964,0.5093,0.7964,-0.1531,0.09333333333333334,0.24666666666666667,0.5733333333333334,-0.2871,Arc 2: Sustained Awe & Joy Arc (Q1 -> Q1),Q1_Awe,Q1_Awe,Great way to see the Grand Canyon and get there quickly from the Phoenix area.,This was well worth the price paid!
4,5,4,0.8398,0.4303,0.8398,0.4303,0.72,0.23333333333333334,0.72,-0.4095,Arc 2: Sustained Awe & Joy Arc (Q1 -> Q1),Q1_Awe,Q1_Awe,Just such an amazing experience...from Lindsey's warm welcome when we arrived to the pilot,You will not be disappointed!
5,5,8,0.8777,0.7783,0.8777,0.4588,0.6200000000000001,0.05333333333333334,0.6200000000000001,-0.09940000000000004,Arc 2: Sustained Awe & Joy Arc (Q1 -> Q1),Q1_Awe,Q1_Awe,Our Grand Canyon Signature Tour - South Rim with Hummer Ground Tour was an absolutely amaz,"Your communication, organisation and friendly guides were fantastic."
6,5,2,0.6588,0.8399,0.8399,0.6588,0.29333333333333333,0.5,0.5,0.18109999999999993,Arc 2: Sustained Awe & Joy Arc (Q1 -> Q1),Q1_Awe,Q1_Awe,"Great experience all around, can't beat it for doing a half-day tour!","Airport was very convenient, pilot was awesome, and really fantastic views from the plane "
7,5,3,0.5719,0.5859,0.5859,0.4404,0.1,0.4866666666666667,0.4866666666666667,0.014000000000000012,Arc 2: Sustained Awe & Joy Arc (Q1 -> Q1),Q1_Awe,Q1_Awe,"Absolutely blown away with this experience, everything was perfect form the flight to the ",The time flying in the canyon was amazing if we were the only people there.
8,5,14,0.0,0.0,0.854,0.0,0.05333333333333334,0.013333333333333334,0.32,0.0,Arc 4: Relieved Tranquility Arc (Q2 -> Q4),Neutral,Q3_Disappointment,The folks at Westwind Air do it right.,Eric Riediger
9,5,7,0.5574,0.5093,0.8225,0.5093,0.09333333333333334,0.24000000000000002,0.25333333333333335,-0.04810000000000003,Arc 2: Sustained Awe & Joy Arc (Q1 -> Q1),Q1_Awe,Q1_Awe,A fantastic trip with views you will never get to see from the ground.,WELL WORTH THE PRICE OF THE TICKET!
10,5,15,0.0,0.4574,0.8402,-0.4168,0.6333333333333333,0.24666666666666667,0.6333333333333333,0.4574,Arc 4: Relieved Tranquility Arc (Q2 -> Q4),Neutral,Q1_Awe,This was a phenomenal experience!,Definitely one of those bucket list items!
11,5,5,-0.431,0.5859,0.6249,-0.5773,0.1,0.4466666666666667,0.4466666666666667,1.0169,Arc 1: Fear-to-Awe Rescued Arc (Q2 -> Q1),Q2_Fear,Q1_Awe,This is the third time I have taken this trip and it never ceases to amaze.,The views of Sedona are amazing also.
12,5,6,0.0,0.6971,0.6971,0.0,0.24000000000000002,0.16666666666666669,0.24000000000000002,0.6971,Arc 4: Relieved Tranquility Arc (Q2 -> Q4),Neutral,Q1_Awe,This is a must go trip!,The hummer ride with Trey to all the great spots for phots and information made this a who
13,5,7,0.7506,0.3612,0.8834,0.0,0.08000000000000002,0.04000000000000001,0.13333333333333333,-0.3894,Arc 2: Sustained Awe & Joy Arc (Q1 -> Q1),Q1_Awe,Q1_Awe,"The aerial tour of Sedona, Flagstaff and, of course, the Grand Canyon was fabulous.",I felt like a kid again.
14,5,3,0.8225,0.3182,0.8225,0.3182,0.5133333333333334,0.10666666666666667,0.6200000000000001,-0.5043,Arc 2: Sustained Awe & Joy Arc (Q1 -> Q1),Q1_Awe,Q1_Awe,"Evidently, the view is amazing, but it's the friendliness and top notch customer service t","The whole team go the extra mile to make sure your experience, not just the view, is unfor"
15,5,5,0.8687,0.5574,0.8687,0.2235,0.13333333333333333,0.03333333333333333,0.31333333333333335,-0.3113,Arc 2: Sustained Awe & Joy Arc (Q1 -> Q1),Q1_Awe,Q1_Awe,My husband I thoroughly enjoyed our plane ride to the Canyon with the pilot making sure we,Strongly recommend this bundled tour
16,5,11,0.4404,0.6476,0.6476,0.0,0.08000000000000002,0.2733333333333333,0.2733333333333333,0.20719999999999994,Arc 2: Sustained Awe & Joy Arc (Q1 -> Q1),Q1_Awe,Q1_Awe,This was my anniversary gift for my wife and it exceeded every expectation.,Caden our pilot and Gigi our tour guide did an outstanding job!
17,5,6,0.0,0.5231,0.8625,0.0,0.26,0.2733333333333333,0.5533333333333333,0.5231,Arc 4: Relieved Tranquility Arc (Q2 -> Q4),Neutral,Q1_Awe,This was an experience and way more than imagined!,We highly recommend this tour and Westwind alongside Buckwild Hummer Tours!!
18,5,5,0.5859,0.6949,0.6949,0.0,0.4266666666666667,0.26666666666666666,0.4666666666666667,0.10899999999999999,Arc 2: Sustained Awe & Joy Arc (Q1 -> Q1),Q1_Awe,Q1_Awe,Was an amazing experience.,We are so glad we made this decision instead of driving!!!
19,5,3,0.5983,0.7783,0.7783,0.5267,0.2866666666666667,0.5466666666666666,0.5466666666666666,0.17999999999999994,Arc 2: Sustained Awe & Joy Arc (Q1 -> Q1),Q1_Awe,Q1_Awe,This was my second time flying with West Wind and they are fantastic!,Flying over the Grand Canyon with Carson our pilot was an amazing experience and I can’t w
20,5,5,0.6249,0.4201,0.9703,0.4201,0.03333333333333333,0.04000000000000001,0.49333333333333335,-0.20480000000000004,Arc 2: Sustained Awe & Joy Arc (Q1 -> Q1),Q1_Awe,Q1_Awe,This was a great day.,I’d highly recommend this tour.
21,5,12,0.2944,0.0772,0.7479,0.0,0.04000000000000001,0.07333333333333333,0.4466666666666667,-0.2172,Arc 2: Sustained Awe & Joy Arc (Q1 -> Q1),Q1_Awe,Q1_Awe,This trip was totally worth it.,With this overview you can decide what else you want to see.
22,5,8,0.5859,0.5859,0.8225,0.0,0.4466666666666667,0.5733333333333334,0.5733333333333334,0.0,Arc 2: Sustained Awe & Joy Arc (Q1 -> Q1),Q1_Awe,Q1_Awe,We had an amazing time with Westwinds.,Seeing Sedona from the air after taking a ground tour was amazing since we could identity 
23,5,10,0.6239,0.75,0.9008,-0.5267,0.7,0.7,0.7,0.1261,Arc 2: Sustained Awe & Joy Arc (Q1 -> Q1),Q1_Awe,Q1_Awe,My family of three had an amazing experience with Captain Carla on the Signature Tour!,Thank you to Captain Carla and our Wild Buck tour guide for the fantastic day!
24,5,6,0.7506,0.7425,0.8955,0.0,0.06,0.1,0.5466666666666666,-0.008099999999999996,Arc 2: Sustained Awe & Joy Arc (Q1 -> Q1),Q1_Awe,Q1_Awe,This was a last-minute reservation which was a great adventure.,The teenagers absolutely loved it – partly because of the private plane ride – as well as 
25,5,28,0.4588,0.4574,0.8972,-0.7269,0.11333333333333334,0.26666666666666666,0.9066666666666667,-0.0014000000000000123,Arc 2: Sustained Awe & Joy Arc (Q1 -> Q1),Q1_Awe,Q1_Awe,We had a once in a lifetime experience on Westwind's Signature Grand Canyon South and Grou,I wish I could give this tour higher than a 5*!
26,5,8,0.0,0.7257,0.7906,-0.5267,0.28,0.37333333333333335,0.5800000000000001,0.7257,Arc 4: Relieved Tranquility Arc (Q2 -> Q4),Neutral,Q1_Awe,This was one of the most unique experiences I have ever had!,I would highly recommend this to others if you are looking for a once in a lifetime experi
27,5,5,0.4588,0.3612,0.7184,0.3612,0.06,0.04666666666666667,0.13333333333333333,-0.09759999999999996,Arc 2: Sustained Awe & Joy Arc (Q1 -> Q1),Q1_Awe,Q1_Awe,We did the Grand Canyon Signature tour from Sedona.,We would recommend this tour through Westwinds.
28,5,2,0.8268,0.4926,0.8268,0.4926,0.0,0.24666666666666667,0.24666666666666667,-0.3342,Arc 2: Sustained Awe & Joy Arc (Q1 -> Q1),Q1_Awe,Q1_Awe,Best part of this trip was the smooth and peaceful plane ride over the canyon!,Felt safe with our professional pilot Tom!
29,5,5,0.7964,0.0,0.836,0.0,0.08000000000000002,0.04666666666666667,0.4866666666666667,-0.7964,Arc 4: Relieved Tranquility Arc (Q2 -> Q4),Q1_Awe,Q3_Disappointment,Our family of four had a great flight over the Grand Canyon.,Would fly with them again any time.
