word,canonical_lemma,chinese_translation,emotion_category,affect_type,frequency_21215,review_count_21215,nrc8_emotions,nrc_polarities,nrc_all_tags
beautiful,beautiful,美丽绝伦的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),3485,3174,joy,positive,"joy, positive"
friendly,friendly,友好的 / 亲切的,Unclassified,E1_E2_Candidate,3416,3221,"anticipation, joy, trust",positive,"anticipation, joy, positive, trust"
wonderful,wonderful,精彩美妙的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),2677,2457,"joy, surprise, trust",positive,"joy, positive, surprise, trust"
good,good,良好的 / 棒的（服务与体验）,Unclassified,E2_Appraisal (Stimulus/Service Attribute),2635,2230,"anticipation, joy, surprise, trust",positive,"anticipation, joy, positive, surprise, trust"
excellent,excellent,卓越极佳的 / 顶级的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),2284,2065,"joy, trust",positive,"joy, positive, trust"
fun,fun,乐趣十足的 / 充满乐趣的,Unclassified,E1_E2_Polysemous (State & Appraisal),1729,1575,"anticipation, joy",positive,"anticipation, joy, positive"
spectacular,spectacular,壮观震撼的（高空景观）,Unclassified,E2_Appraisal (Stimulus/Service Attribute),1616,1566,"anticipation, surprise",,"anticipation, surprise"
perfect,perfect,完美的 / 无瑕的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),1474,1340,"anticipation, joy, trust",positive,"anticipation, joy, positive, trust"
helpful,helpful,热心有帮助的 / 周到解说,Unclassified,E2_Appraisal (Stimulus/Service Attribute),1157,1108,"joy, trust",positive,"joy, positive, trust"
glad,glad,感到高兴放心的,Joy / Happiness,E1_State (Direct Internal Affective State),897,856,"anticipation, joy",positive,"anticipation, joy, positive"
special,special,特别的 / 珍贵的,Unclassified,E1_E2_Candidate,631,574,joy,positive,"joy, positive"
lucky,lucky,感到幸运的,Good Fortune / Joy,E1_State (Direct Internal Affective State),607,586,"joy, surprise",positive,"joy, positive, surprise"
kind,kind,亲切的 / 友善的,Unclassified,E1_E2_Candidate,587,565,"joy, trust",positive,"joy, positive, trust"
memorable,memorable,令人终生难忘的,Memorability / Joy,E1_State (Direct Internal Affective State),580,562,"joy, surprise, trust",positive,"joy, positive, surprise, trust"
happy,happy,高兴的 / 快乐的,Unclassified,E1_State (Direct Internal Affective State),555,522,"anticipation, joy, trust",positive,"anticipation, joy, positive, trust"
nervous,nervous,紧张的 / 焦虑不安的,Unclassified,E1_State (Direct Internal Affective State),513,486,"anticipation, fear",negative,"anticipation, fear, negative"
disappointed,disappointed,感到失望的 / 遗憾的,Unclassified,E1_State (Direct Internal Affective State),488,475,"anger, disgust, sadness",negative,"anger, disgust, negative, sadness"
outstanding,outstanding,杰出出色的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),462,439,joy,"negative, positive","joy, negative, positive"
love,love,喜爱 / 极度热爱的,Love / Affection,E1_State (Direct Internal Affective State),450,430,joy,positive,"joy, positive"
unique,unique,独一无二的 / 独特的,Unclassified,E1_E2_Candidate,435,412,surprise,positive,"positive, surprise"
gorgeous,gorgeous,极其漂亮的 / 绚丽的,Unclassified,E1_E2_Candidate,414,406,joy,positive,"joy, positive"
bad,bad,糟糕的 / 坏的,Unclassified,E1_E2_Candidate,373,342,"anger, disgust, fear, sadness",negative,"anger, disgust, fear, negative, sadness"
exciting,exciting,令人兴奋刺激的,Excitement,E2_Appraisal (Stimulus/Service Attribute),324,315,"anticipation, joy, surprise",positive,"anticipation, joy, positive, surprise"
pleasant,pleasant,令人愉快的 / 宜人的,Unclassified,E1_E2_Candidate,306,294,"anticipation, joy, surprise, trust",positive,"anticipation, joy, positive, surprise, trust"
regret,regret,遗憾 / 后悔,Regret,E1_State (Direct Internal Affective State),293,288,sadness,negative,"negative, sadness"
magnificent,magnificent,壮丽的 / 宏伟震撼的（Awe）,Unclassified,E2_Appraisal (Stimulus/Service Attribute),282,272,"anticipation, joy, surprise, trust",positive,"anticipation, joy, positive, surprise, trust"
sick,sick,晕机的 / 身体不适的,Unclassified,E1_E2_Candidate,274,240,"disgust, sadness",negative,"disgust, negative, sadness"
