word,canonical_lemma,chinese_translation,emotion_category,affect_type,frequency_21215,review_count_21215,nrc8_emotions,nrc_polarities,nrc_all_tags
great,great,非常棒的 / 极好的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),11541,8445,None (Not in NRC 8),,Unmapped in NRC
amazing,amazing,极其震撼赞叹的 / 太棒了,Unclassified,E2_Appraisal (Stimulus/Service Attribute),6251,5377,None (Not in NRC 8),,Unmapped in NRC
best,best,最棒的 / 顶级的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),3420,2977,None (Not in NRC 8),,Unmapped in NRC
worth,worth,物有所值的 / 绝对值得的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),2799,2678,None (Not in NRC 8),positive,positive
awesome,awesome,太棒了 / 极为赞叹的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),2530,2344,None (Not in NRC 8),,Unmapped in NRC
fantastic,fantastic,奇妙太棒的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),2026,1875,None (Not in NRC 8),,Unmapped in NRC
nice,nice,美好的 / 良好的,Unclassified,E1_E2_Candidate,1794,1586,None (Not in NRC 8),,Unmapped in NRC
incredible,incredible,难以置信震撼的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),1612,1508,None (Not in NRC 8),,Unmapped in NRC
better,better,更好的 / 更满意的（超过预期）,Unclassified,E1_E2_Candidate,1585,1431,None (Not in NRC 8),,Unmapped in NRC
loved,loved,喜爱 / 热爱（体验）,Unclassified,E1_State (Direct Internal Affective State),1473,1365,None (Not in NRC 8),,Unmapped in NRC
comfortable,comfortable,舒适的 / 安心的,Unclassified,E1_E2_Polysemous (State & Appraisal),1446,1372,None (Not in NRC 8),,Unmapped in NRC
breathtaking,breathtaking,令人屏息震撼的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),1346,1328,None (Not in NRC 8),,Unmapped in NRC
interesting,interesting,引人入胜的 / 趣味盎然的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),886,853,None (Not in NRC 8),positive,positive
cool,cool,酷的 / 爽快的,Unclassified,E1_E2_Candidate,652,606,None (Not in NRC 8),positive,positive
