word,count,mean_rating,intrinsic_polarity,category
lucky,593,4.9325463743676226,0.45,JOY
friendly,3271,4.941608070926322,0.55,JOY
guide,1781,4.93149915777653,0.0,TRUST
professional,2056,4.950389105058366,0.0,TRUST
start,490,4.86734693877551,0.0,ANTICIPATION
excellent,2475,4.955959595959596,0.675,JOY
ground,726,4.869146005509642,0.0,TRUST
recommend,5998,4.945481827275759,0.375,TRUST
facts,317,4.908517350157728,0.0,TRUST
fun,1802,4.950610432852386,0.575,JOY
trip,6575,4.903422053231939,0.0,SURPRISE
spectacular,1798,4.956062291434928,0.0,ANTICIPATION
worth,3011,4.919628030554633,0.225,CATE
pilot,13129,4.914387996039302,0.0,TRUST
communication,176,4.6647727272727275,0.0,TRUST
delight,52,5.0,0.725,JOY
time,4883,4.849477780053246,0.0,ANTICIPATION
leave,191,4.633507853403142,-0.05,SADNESS
disappointed,495,4.444444444444445,-0.525,SADNESS
journey,166,4.903614457831325,0.0,JOY
interesting,859,4.916181606519208,0.425,CATE
airport,769,4.751625487646294,0.0,ANTICIPATION
helpful,1115,4.947982062780269,0.45,JOY
desert,38,4.7368421052631575,0.0,SADNESS
signature,18,4.777777777777778,0.0,TRUST
magnificence,26,4.961538461538462,0.6,JOY
flying,2740,4.910583941605839,0.0,FEAR
justice,114,4.982456140350878,0.6,TRUST
convenient,61,4.704918032786885,0.0,CATE
perfect,1464,4.961065573770492,0.675,JOY
safe,1601,4.929419113054341,0.475,JOY
skilled,240,4.954166666666667,0.0,CATE
patient,146,4.938356164383562,0.0,ANTICIPATION
kudos,30,5.0,0.575,JOY
ready,170,4.629411764705883,0.375,ANTICIPATION
cherish,54,5.0,0.4,JOY
team,436,4.9610091743119265,0.0,TRUST
young,254,4.826771653543307,0.0,JOY
top,1000,4.91,0.2,TRUST
smiling,34,5.0,0.5,JOY
sense,206,4.912621359223301,0.0,CATE
beauty,891,4.9753086419753085,0.7,JOY
terrific,278,4.9640287769784175,0.525,SADNESS
experienced,865,4.939884393063584,0.0,TRUST
noise,166,4.873493975903615,0.0,CATE
music,366,4.814207650273224,0.0,JOY
lovely,268,4.899253731343284,0.7,JOY
opportunity,533,4.874296435272045,0.45,ANTICIPATION
adventure,1255,4.946613545816733,0.325,ANTICIPATION
bonus,141,4.957446808510638,0.625,JOY
delightful,88,4.965909090909091,0.7,JOY
friendliness,45,4.977777777777778,0.5,JOY
