user_name,user_location,rating,rating_text,review_title,review_text,trip_type,helpful_votes,published_date,tour_name,has_photo,language,is_english,user_city,user_state,user_country,is_us_domestic,review_word_count,review_char_count,title_word_count,exclamation_count,uppercase_ratio,sentiment_polarity,sentiment_pos,sentiment_neg,safety_mention,helicopter_comparison,price_value_mention,coast_mention,canyon_mention,waterfall_mention,wildlife_mention,weather_mention,flight_crew_mention,ground_staff_mention,companion_mention,pilot_mention,staff_service_mention,guide_mention,pilot_service_mention,special_occasion,aircraft_type,aspects_found,aspect_count,aspect_Scenery,aspect_Pilot,aspect_GroundStaff,aspect_CabinComfort,aspect_Safety,aspect_Weather,aspect_PriceValue,aspect_ServiceRecovery,aspect_Companion,aspect_LifetimeExperience,incongruence_type
Victoria L,"Paterson, Australia",5,,"Highly recommended tour, we had a ball!","We had a such a great day at the Grand Canyon! A full day…in the air and a 3 hour tour in the Wildbuck Hummer, 45 mins in the little town before we flew back to Phoenix. Our tour guide in the Hummer was Gerry, he was so friendly and knowledgeable, the only Native Indian Tour guide so was lucky to get him. 
Zac and Brandon, the Pilots were very professional, informative and friendly. 
We ended up on a private tour even though we booked in a group which we thoroughly enjoyed. Highly recommended tour.",Unknown,0,2024-11-05,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,1,en,1,Paterson,,Australia,0,95,503,7,1,0.0357852882703777,0.9768,0.233,0.0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,Other/Unspecified,"['Scenery', 'Pilot']",2,1,1,0,0,0,0,0,0,0,0,Pure Positive Baseline
Frank D,"Chicago, IL",5,Oct 2024 • Couples,Do this tour!! Cannot recommend enough!,"This was by far one of the best tours I have ever been on. The experience was great from start to finish. Westwind was great to work with and Brandon took excellent care of us in the air. The ground tour through GC Nation Park was a lot of fun and filled with fun facts and knowledge. They take you to lots of spots where you can get lots of great pictures while learning about some of the history and geology. We loved this tour, would do it again in a heartbeat, and will be recommending this tour to anyone that will listen.",Couples,0,2024-10-14,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,1,en,1,Chicago,IL,United States,1,103,527,6,0,0.0227703984819734,0.9881,0.271,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other/Unspecified,['GroundStaff'],1,0,0,1,0,0,0,0,0,0,0,Pure Positive Baseline
Betty J,,5,Oct 2024 • Family,ONLY WAY TO SEE THE GRAND CANYON,Been to the Grand Canyon 2 other times seen more on this trip that the other 2 combined.  WAY TO GO!! ++++ HIGHLY RECOMMEND IT,Family,0,2024-10-14,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,1,en,1,,,Unknown,0,25,126,7,2,0.2142857142857142,0.8335,0.272,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Other/Unspecified,['Scenery'],1,1,0,0,0,0,0,0,0,0,0,Pure Positive Baseline
Katie B,,5,Aug 2024 • Couples,Stunning Views and Spectacular People!,Great way to see the Grand Canyon and get there quickly from the Phoenix area. From our communication before the tour with Lindsey to our Flight there and back with pilot Brendon and our tour on the ground with Miss Gigi this was an all around spectacular experience. We would highly recommend this to anyone visiting Arizona and would absolutely do again. This was well worth the price paid!,Couples,0,2024-09-08,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,0,en,1,,,Unknown,0,69,392,5,1,0.0331632653061224,0.9115,0.18,0.02,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,Other/Unspecified,"['Scenery', 'Pilot', 'GroundStaff', 'PriceValue']",4,1,1,1,0,0,0,1,0,0,0,Minor Local Noise
Julie C,,5,Jun 2024 • Friends,"A ""Must DO"" Aerial Tour!","Just such an amazing experience...from Lindsey's warm welcome when we arrived to the pilots navigating the journey! I would highly recommend this tour...it is truly a once in a life time experience what will open your eyes in so many ways! Seeing the Grand Canyon from above, in all its wonder, will delight you and the learnings you will walk away with will leave you in awe! You will not be disappointed!",Friends,0,2024-06-11,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,0,en,1,,,Unknown,0,72,406,5,4,0.0172413793103448,0.9745,0.29,0.014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Other/Unspecified,"['Scenery', 'Pilot']",2,1,1,0,0,0,0,0,0,0,0,Pure Positive Baseline
LeeleeBG,"Perth, Australia",5,,Absolutely fantastic tour!,"Our Grand Canyon Signature Tour - South Rim with Hummer Ground Tour was an absolutely amazing experience, flying over the desert from Phoenix to the Grand Canyon, passing over Sedona, Flagstaff, Mt Humphries (which still had snow on it). Once we landed at the Grand Canyon Airport the tour took us on a Hummer trip around the South Rim of the Canyon.  Photos don’t do this vista enough justice.  The rock formations, colours, size and sheer magnificence was simply awe inducing. Our guides,  both the pilot Nico and the Hummer driver Trey were fantastic; so knowledgeable and interesting and always helpful. We had such a fabulous time. Thanks Westwind for making this an amazing highlight.  Your communication, organisation and friendly guides were fantastic.",Unknown,0,2024-05-27,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,1,en,1,Perth,,Australia,0,123,760,3,0,0.0460526315789473,0.9935,0.318,0.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,Other/Unspecified,"['Scenery', 'Pilot', 'GroundStaff', 'Weather', 'LifetimeExperience']",5,1,1,1,0,0,1,0,0,0,1,Pure Positive Baseline
Shane M,,5,Apr 2024 • Family,Great experience all around and very convenient,"Great experience all around, can't beat it for doing a half-day tour! Airport was very convenient, pilot was awesome, and really fantastic views from the plane and at the canyon.",Family,0,2024-04-04,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,0,en,1,,,Unknown,0,30,178,7,1,0.0112359550561797,0.9244,0.323,0.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,Other/Unspecified,"['Scenery', 'Pilot']",2,1,1,0,0,0,0,0,0,0,0,Pure Positive Baseline
nic w,"Coventry, UK",5,,Absolutely perfect,"Absolutely blown away with this experience, everything was perfect form the flight to the hummer tour. We felt safe, and informed about the GC. The time flying in the canyon was amazing if we were the only people there.",Unknown,0,2024-03-17,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,0,en,1,Coventry,,United Kingdom,0,39,219,2,0,0.0228310502283105,0.886,0.224,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Other/Unspecified,"['Scenery', 'Safety']",2,1,0,0,0,1,0,0,0,0,0,Pure Positive Baseline
Eric J,,5,Jan 2024 • Family,Cloud 9 Canyon Excursion,"The folks at Westwind Air do it right. Top notch service. We were greeted with smiling professional people. Snacks and beverages all ready for us. Our pilot ( Doug) was fantastic. Skilled, thougtful, and informative. Even took pics for us and we had the plane to ourselves.
Once we landed at the South Rim our Hummer and guide were waiting for us. Jerry is a Navajo and knows the area he grew up in extensively.  He was also very patient as we travelled with two young ones. All the stops were awe inspiring and we were fed an excellent, personally made lunch right next to the canyon. 
I would personally recommend this means of seeing the Grand Canyon to be high on one's bucket list. Kudos to the Westwind Air team and thank you for a family memory we will cherish and never forget!
 Eric Riediger",Family,0,2024-03-13,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,1,en,1,,,Unknown,0,146,800,4,1,0.0325,0.9845,0.214,0.01,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,Other/Unspecified,"['Scenery', 'Pilot', 'GroundStaff', 'Companion', 'LifetimeExperience']",5,1,1,1,0,0,0,0,0,1,1,Pure Positive Baseline
Shapleigh I,"Reading, PA",5,,Best Tour Ever! Don’t Miss It!,"A fantastic trip with views you will never get to see from the ground. Then when you do land at Grand Canyon Village and take the Humvee part of the tour you will be blown away again by the sheer beauty of the Grand Canyon and some of the lookout points where you stop.
One of the best parts of our trip was our pilot - Carla. She has 30 years experience flying, and a great sense of humor. The tour is pre-narrated which you hear through your headphones in the plane, but Carla cuts in from time to time to add some great tidbits. She also has a great sense of humor! WELL WORTH THE PRICE OF THE TICKET!",Unknown,0,2024-02-28,33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,1,en,1,Reading,PA,United States,1,120,604,6,2,0.0695364238410596,0.9858,0.259,0.031,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,Other/Unspecified,"['Scenery', 'Pilot', 'GroundStaff', 'CabinComfort', 'PriceValue']",5,1,1,1,1,0,0,1,0,0,0,Minor Local Noise
