tour_name,rating,fear_words,has_pilot,fear_sentence,pilot_sentence,full_text
33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,5,nervous,1,"Our pilot, Noah, was wonderful and helped ease our nervous children","Our pilot, Noah, was wonderful and helped ease our nervous children","Family trip to GC . Was an amazing experience. Everyone we dealt with was beyond nice and helpful. Our pilot, Noah, was wonderful and helped ease our nervous children. The overhead views were spectacular. We are so glad we made this decision instead of driving!!!..."
33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,5,nervous,1,"My son and I were very nervous, but Captain Carla was so kind and competent","My family of three had an amazing experience with Captain Carla on the Signature Tour | My son and I were very nervous, but Captain Carla was so kind and competent","Perfect Grand Canyon experience! . My family of three had an amazing experience with Captain Carla on the Signature Tour! My son and I were very nervous, but Captain Carla was so kind and competent. We departed from Sedona and enjoyed a GORGEOUS flight to the Grand Canyon. It was so nice to avoid th..."
33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,5,"fear, scared",1,I have a terrible fear of flying but I was desperate to be able to do this tour | I told her I was and I was scared Sh**less:) Captain Carla was so kind and professional and assured me I would have a wonderful day and would be able to enjoy the flight,"The captain came through the gate, introduced herself  and asked if I was her guest | I told her I was and I was scared Sh**less:) Captain Carla was so kind and professional and assured me I would have a wonderful day and would be able to enjoy the flight","Awe inspiring way to experience The Grand Canyon! . We had a once in a lifetime experience on Westwind's Signature Grand Canyon South and Ground Tour. I have a terrible fear of flying but I was desperate to be able to do this tour. If not today, when, was part of my logic. 

My husband and I arrived..."
33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,5,fear,1,"Since there were only two of us on the tour, it was private which was nice but if you have a fear of flying this would not be for you","Paul, our pilot was awesome and helped us to feel safe based on his experience","Once in a lifetime experience! . This was one of the most unique experiences I have ever had! The flight from Phoenix to the Canyon was a bit nerve wracking, due to the small aircraft. Since there were only two of us on the tour, it was private which was nice but if you have a fear of flying this wo..."
33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,5,nervous,1,"I was a nervous passenger however, I had nothing to worry about thanks to our pilot Ken","I was a nervous passenger however, I had nothing to worry about thanks to our pilot Ken | He was very meticulous with his checks and made the journey very comfortable ( commented by my pilot friend who was traveling with me)","Grand Canyon Flight . We took the flight over the Grand Canyon to test out a developing air anti collision app . I was a nervous passenger however, I had nothing to worry about thanks to our pilot Ken. He was very reassuring and ensured that I was comfortable and relaxed throughout the flight.

He w..."
33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,5,afraid,1,I was afraid to go on a small aircraft but LINDSEY reassured me that it was safe and most of all FUN,,AMAZING TRIP!!!!!! . I took my Husband John on the Adventure Tour to the Grand Canyon and it was absolutely AMAZING!  LINDSEY was so GREAT and answered all my questions and she also has a big heart. I was afraid to go on a small aircraft but LINDSEY reassured me that it was safe and most of all FUN!...
33_71_Grand Canyon South Rim Signature Ground Tour with PJX_2025-03-04,5,afraid,0,don't be afraid of flying,,You have to see the Grand Canyon . great trip--the Grand Canyon is amazing and has to be seen--the view from the plane is excellent. don't be afraid of flying. use time at the Canyon to walk rather than sit in the jeep....
11-_131_South Beach Miami Aerial Tour  BeachesMansions and Skyline_2025-02-27,5,nervous,1,Only thing that made me nervous was the pilot keep looking at his phone,Only thing that made me nervous was the pilot keep looking at his phone,Great experience overall . I took my boyfriend for his birthday and we had a lot of fun. It was a little rocky but we came back safe and sound. Only thing that made me nervous was the pilot keep looking at his phone. Im not sure if his phone was guiding him or if he was texting. Would definitely do ...
11-_131_South Beach Miami Aerial Tour  BeachesMansions and Skyline_2025-02-27,5,fear,0,It was amazing the guys was really friendly even helping me with my fear of heights will definitely come back,,Girls trip . It was amazing the guys was really friendly even helping me with my fear of heights will definitely come back !!!...
11-_131_South Beach Miami Aerial Tour  BeachesMansions and Skyline_2025-02-27,5,afraid,1,I’m afraid of heights but the pilot made me feel very safe,I’m afraid of heights but the pilot made me feel very safe,Amazing . Absolutely amazing. Good customer service. I’m afraid of heights but the pilot made me feel very safe. I will do this again....
11-_131_South Beach Miami Aerial Tour  BeachesMansions and Skyline_2025-02-27,5,scared,0,"I was scared at first, this is my first time and I didn’t know what to expect but it was a great experience and I’d definitely do it again",,"The best experience! . I was scared at first, this is my first time and I didn’t know what to expect but it was a great experience and I’d definitely do it again. I’ll come back for sure!..."
