word,raw_label,count,mean_rating,mean_polarity,dimension
worth,worth (值得/划算),3012,4.919654714475431,0.9050329017264276,Value & Booking Assurance
small,small (小型的/紧凑的),1483,4.864463924477411,0.9082494268374915,Cabin Facilities & Flight Comfort
job,job (工作/服务表现),1054,4.934535104364326,0.9236095825426945,Pilot & Service Quality
information,information (信息/解说),1033,4.853823814133592,0.9032954501452082,Pilot & Service Quality
coast,coast (海岸/海岸线),1017,4.892822025565389,0.8978698131760079,Aerial Scenery & Environment
interesting,interesting (有趣的/引人入胜的),860,4.916279069767442,0.9390144186046512,Tourist Delight & Emotional Memory
knowledge,knowledge (知识/解说丰富),668,4.949101796407185,0.922008233532934,Pilot & Service Quality
full,full (完整的/全景的),624,4.767628205128205,0.8847729166666667,Tourist Delight & Emotional Memory
cool,cool (酷炫的/棒的),644,4.9021739130434785,0.9208973602484473,Tourist Delight & Emotional Memory
forget,forget (难忘的/不会忘记),631,4.966719492868463,0.9004776545166403,Tourist Delight & Emotional Memory
captain,captain (机长/飞行员),543,4.928176795580111,0.9051162062615102,Pilot & Service Quality
sky,sky (天空/高空),619,4.906300484652665,0.9045794830371567,Aerial Scenery & Environment
extra,extra (额外的/附加体验),541,4.87985212569316,0.9068144177449168,Value & Booking Assurance
including,including (包含/包括),510,4.850980392156862,0.9078231372549018,Tourist Delight & Emotional Memory
customer,customer (游客/顾客服务),557,4.667863554757631,0.856157091561939,Pilot & Service Quality
sea,sea (大海/海洋),471,4.895966029723992,0.8782386411889597,Aerial Scenery & Environment
ease,ease (轻松/平稳自如),419,4.978520286396181,0.940736754176611,Cabin Facilities & Flight Comfort
personable,personable (平易近人的/亲切的),418,4.9688995215311005,0.923327990430622,Pilot & Service Quality
completely,completely (完全地/彻底地),326,4.751533742331288,0.8675018404907976,Cabin Facilities & Flight Comfort
unbelievable,unbelievable (未翻译),349,4.982808022922636,0.8893593123209168,Cabin Facilities & Flight Comfort
included,included (未翻译),265,4.886792452830188,0.9333400000000001,Tourist Delight & Emotional Memory
calm,calm (未翻译),252,4.9523809523809526,0.9561043650793649,Cabin Facilities & Flight Comfort
skilled,skilled (技术熟练的/专业的),240,4.954166666666667,0.90825125,Pilot & Service Quality
courteous,courteous (礼貌有礼的),240,4.945833333333334,0.9501541666666667,Pilot & Service Quality
fortunate,fortunate (幸运的),233,4.957081545064377,0.9601343347639485,Tourist Delight & Emotional Memory
interest,interest (兴趣/看点),228,4.921052631578948,0.9454864035087719,Tourist Delight & Emotional Memory
absolute,absolute (绝对的/完美的),269,4.936802973977695,0.8388970260223048,Tourist Delight & Emotional Memory
organized,organized (组织良好的/有序的),219,4.863013698630137,0.8877904109589041,Cabin Facilities & Flight Comfort
sense,sense (感知/安全感),206,4.912621359223301,0.9394082524271845,Cabin Facilities & Flight Comfort
superb,superb (极好的/卓越的),226,4.946902654867257,0.9305097345132743,Tourist Delight & Emotional Memory
forward,forward (期待/前向视角),178,4.556179775280899,0.8301089887640449,Tourist Delight & Emotional Memory
ahead,ahead (提前/前方视野),175,4.662857142857143,0.8987754285714287,Tourist Delight & Emotional Memory
cold,cold (寒冷的/高空气温),170,4.847058823529411,0.9422858823529412,Cabin Facilities & Flight Comfort
noise,noise (噪音/降噪耳机),166,4.873493975903615,0.9249253012048193,Cabin Facilities & Flight Comfort
rock,rock (岩石/山体地貌),158,4.9113924050632916,0.9161493670886076,Tourist Delight & Emotional Memory
cheap,cheap (划算/价格适中),134,4.873134328358209,0.868120895522388,Value & Booking Assurance
wrong,wrong (偏差/纠错),134,4.559701492537314,0.7694171641791044,Friction & Service Defects
strongly,strongly (强烈推荐),129,4.891472868217054,0.9444875968992248,Value & Booking Assurance
main,main (主要的/核心景点),132,4.621212121212121,0.862964393939394,Tourist Delight & Emotional Memory
actual,actual (实际的/真实的),126,4.634920634920635,0.8531492063492063,Cabin Facilities & Flight Comfort
polite,polite (礼貌客气的),125,4.832,0.8635136,Pilot & Service Quality
working,working (良好运转/工作),121,4.570247933884297,0.8645115702479339,Pilot & Service Quality
major,major (主要的/重大看点),120,4.85,0.8988208333333334,Tourist Delight & Emotional Memory
attention,attention (关照/注重细节),120,4.941666666666666,0.8827783333333333,Pilot & Service Quality
question,question (解答问题),112,4.910714285714286,0.8797267857142858,Tourist Delight & Emotional Memory
overcast,overcast (多云/阴天天气),110,4.745454545454545,0.8821863636363636,Tourist Delight & Emotional Memory
contact,contact (联系/预订沟通),110,4.590909090909091,0.8128554545454546,Pilot & Service Quality
accessible,accessible (易达的/方便的),105,4.876190476190477,0.9207133333333334,Tourist Delight & Emotional Memory
spoke,spoke (交谈/耳机讲解),103,4.398058252427185,0.7539718446601943,Tourist Delight & Emotional Memory
