word,chinese_translation,stage_origin,frequency_2500,review_count_2500,example_context
pilot,飞行员,Stage 1 (500 Discovery),1773,1433,"review_bc094451a516daefa055857a :: This was one of the most unique experiences I have ever had! The flight from Phoenix to the Canyon was a bit nerve wracking, due to the small aircraft. Since there were only two of..."
flight,飞行 / 航程,Stage 1 (500 Discovery),1661,952,"review_bc094451a516daefa055857a :: This was one of the most unique experiences I have ever had! The flight from Phoenix to the Canyon was a bit nerve wracking, due to the small aircraft. Since there were only two of..."
tour,游览 / 行程,Stage 1 (500 Discovery),1367,812,"review_bc094451a516daefa055857a :: This was one of the most unique experiences I have ever had! The flight from Phoenix to the Canyon was a bit nerve wracking, due to the small aircraft. Since there were only two of..."
experience,体验 / 经历,Stage 1 (500 Discovery),1087,848,"review_bc094451a516daefa055857a :: This was one of the most unique experiences I have ever had! The flight from Phoenix to the Canyon was a bit nerve wracking, due to the small aircraft. Since there were only two of..."
trip,旅程 / 出行,Stage 1 (500 Discovery),963,692,"review_bc094451a516daefa055857a :: This was one of the most unique experiences I have ever had! The flight from Phoenix to the Canyon was a bit nerve wracking, due to the small aircraft. Since there were only two of..."
plane,视角小飞机,Stage 1 (500 Discovery),864,590,"review_856d2aa6a78e7be940af3eac :: This was a once in a lifetime, amazing, beautiful experience. 

- the flight out of Scottsdale through the river valleys is beautiful.
- you get to see both north and south side of..."
see,观看 / 远眺,Stage 1 (500 Discovery),763,595,"review_bc094451a516daefa055857a :: This was one of the most unique experiences I have ever had! The flight from Phoenix to the Canyon was a bit nerve wracking, due to the small aircraft. Since there were only two of..."
would,想要 / 将会,Stage 1 (500 Discovery),723,553,"review_bc094451a516daefa055857a :: This was one of the most unique experiences I have ever had! The flight from Phoenix to the Canyon was a bit nerve wracking, due to the small aircraft. Since there were only two of..."
time,时间 / 次数,Stage 1 (500 Discovery),707,541,"review_bc094451a516daefa055857a :: This was one of the most unique experiences I have ever had! The flight from Phoenix to the Canyon was a bit nerve wracking, due to the small aircraft. Since there were only two of..."
air,空中 / 气流,Stage 1 (500 Discovery),677,487,"review_856d2aa6a78e7be940af3eac :: This was a once in a lifetime, amazing, beautiful experience. 

- the flight out of Scottsdale through the river valleys is beautiful.
- you get to see both north and south side of..."
views,风光 / 景观视野,Stage 1 (500 Discovery),669,590,"review_bc094451a516daefa055857a :: This was one of the most unique experiences I have ever had! The flight from Phoenix to the Canyon was a bit nerve wracking, due to the small aircraft. Since there were only two of..."
recommend,推荐 / 建议,Stage 1 (500 Discovery),652,626,"review_bc094451a516daefa055857a :: This was one of the most unique experiences I have ever had! The flight from Phoenix to the Canyon was a bit nerve wracking, due to the small aircraft. Since there were only two of..."
island,海岛 / 岛屿,Stage 1 (500 Discovery),608,411,"review_7e4c769eacb09e8be1a32d03 :: We have flown with several different services to Roche Harbor on San Juan Island
and we prefer Friday Harbor Seaplanes : the team are all very personable, helpful,
accomodative to ..."
kauai,可爱岛,Stage 1 (500 Discovery),608,363,"review_254f46e4a5fb0f6c7e0c50cd :: I am rewriting this review, as my first review was softly forced.  The pilot stopped the golf cart near the hangars and asked us to click the links and do the review on the spot…an..."
glacier,冰川 / 冰河,Stage 1 (500 Discovery),595,385,review_f0ee2cd886f1308d732e265f :: The flight was great and seeing the glaciers from the sky was beautiful.  My husband loved the experience in the small 1965 plane and my teens took tons of photos!  Our pilot was g...
canyon,峡谷 / 大峡谷,Stage 1 (500 Discovery),566,294,"review_bc094451a516daefa055857a :: This was one of the most unique experiences I have ever had! The flight from Phoenix to the Canyon was a bit nerve wracking, due to the small aircraft. Since there were only two of..."
