word,count,mean_rating,mean_polarity,category
phoenix,126,4.920634920634921,0.9388269841269841,CATE
guide,1784,4.931614349775785,0.9131776345291479,TRUST
lucky,593,4.9325463743676226,0.9350070826306914,JOY
full,624,4.767628205128205,0.8847729166666667,CATE
professional,2055,4.95036496350365,0.9041165450121654,TRUST
friendly,3270,4.941590214067278,0.9364256880733944,JOY
ground,726,4.869146005509642,0.9129884297520662,TRUST
excellent,2479,4.956030657523195,0.9269227511093181,JOY
fun,1801,4.9505830094392005,0.9321005552470849,JOY
learning,62,4.854838709677419,0.8651290322580645,CATE
start,497,4.861167002012072,0.8830255533199195,ANTICIPATION
facts,317,4.908517350157728,0.9376,TRUST
knowledge,668,4.949101796407185,0.922008233532934,CATE
recommend,5996,4.945463642428286,0.9202224149432955,TRUST
trip,6588,4.902701882210079,0.8956965088038857,SURPRISE
worth,3011,4.919628030554633,0.9050245101295251,CATE
communication,176,4.6647727272727275,0.8219715909090911,TRUST
pilot,13202,4.913422208756249,0.8931208150280261,TRUST
spectacular,1798,4.956062291434928,0.893485873192436,ANTICIPATION
leave,191,4.633507853403142,0.8652293193717278,SADNESS
delight,52,5.0,0.9497423076923077,JOY
journey,166,4.903614457831325,0.921821686746988,FEAR
disappointed,495,4.444444444444445,0.77576,ANGER
interesting,860,4.916279069767442,0.9390144186046512,CATE
landed,1051,4.8667935299714555,0.8969200761179829,CATE
magnificence,26,4.961538461538462,0.9286192307692307,JOY
justice,114,4.982456140350878,0.8981491228070175,TRUST
helpful,1115,4.947982062780269,0.9423539013452915,JOY
flying,2740,4.910583941605839,0.9090079197080292,FEAR
signature,18,4.777777777777778,0.9526722222222221,TRUST
rock,158,4.9113924050632916,0.9161493670886076,CATE
airport,773,4.752910737386805,0.8791476067270374,ANTICIPATION
desert,39,4.743589743589744,0.8669666666666666,ANGER
convenient,61,4.704918032786885,0.8555639344262295,CATE
safe,1603,4.928883343730505,0.9317245789145352,JOY
perfect,1465,4.961092150170648,0.9393051877133106,JOY
ready,171,4.625730994152047,0.8882672514619885,ANTICIPATION
skilled,240,4.954166666666667,0.90825125,CATE
forget,631,4.966719492868463,0.9004776545166403,CATE
top,1026,4.909356725146199,0.8910167641325536,ANTICIPATION
young,253,4.826086956521739,0.8791806324110673,JOY
patient,146,4.938356164383562,0.9001157534246575,ANTICIPATION
team,455,4.958241758241758,0.8792123076923077,TRUST
cherish,54,5.0,0.9475351851851853,JOY
kudos,30,5.0,0.9473433333333333,JOY
smiling,34,5.0,0.9474911764705882,JOY
land,1197,4.848788638262323,0.8720721804511277,CATE
sense,206,4.912621359223301,0.9394082524271845,CATE
beauty,891,4.9753086419753085,0.952120987654321,JOY
terrific,278,4.9640287769784175,0.9239187050359713,SADNESS
experienced,864,4.939814814814815,0.8943614583333334,TRUST
captain,540,4.927777777777778,0.9119233333333333,CATE
music,366,4.814207650273224,0.93071912568306,SADNESS
lovely,268,4.899253731343284,0.934431343283582,SADNESS
information,1031,4.853540252182348,0.9044663433559651,CATE
noise,166,4.873493975903615,0.9249253012048193,CATE
adventure,1258,4.945945945945946,0.9274618441971382,ANTICIPATION
bonus,141,4.957446808510638,0.9585645390070923,JOY
opportunity,533,4.874296435272045,0.9217666041275798,ANTICIPATION
delightful,88,4.965909090909091,0.9509613636363636,JOY
customer,556,4.66726618705036,0.8560237410071942,CATE
pretty,392,4.709183673469388,0.9378005102040816,JOY
friendliness,45,4.977777777777778,0.9545733333333336,JOY
extra,540,4.87962962962963,0.9093353703703704,CATE
strongly,129,4.891472868217054,0.9444875968992248,CATE
beautiful,3511,4.922244374821988,0.9320860438621477,JOY
gift,257,4.852140077821011,0.9387782101167316,JOY
outstanding,567,4.964726631393298,0.9293259259259258,JOY
expectation,27,4.62962962962963,0.8695111111111111,ANTICIPATION
job,1052,4.934410646387833,0.9254058935361217,CATE
small,1483,4.864463924477411,0.9082494268374915,CATE
fall,64,4.796875,0.7319,SADNESS
turbulence,234,4.880341880341881,0.8799978632478632,ANGER
guidance,19,5.0,0.9667,TRUST
expert,111,4.990990990990991,0.9024324324324325,TRUST
glad,877,4.925883694412771,0.9395424173318131,JOY
ease,419,4.978520286396181,0.940736754176611,CATE
wonderful,2819,4.951401206101455,0.9279900673997872,JOY
nervous,488,4.922131147540983,0.9064698770491804,FEAR
wait,470,4.6617021276595745,0.8429912765957447,ANTICIPATION
good,2328,4.791666666666667,0.9010062714776633,JOY
optional,20,4.9,0.95726,CATE
hit,70,4.857142857142857,0.9026771428571428,ANGER
chilly,19,4.842105263157895,0.9315473684210529,CATE
culture,57,5.0,0.9372210526315791,CATE
buck,42,4.785714285714286,0.8343214285714285,FEAR
special,597,4.943048576214405,0.9447229480737018,JOY
joy,68,4.852941176470588,0.9300838235294119,JOY
wild,78,4.935897435897436,0.8509051282051282,SURPRISE
kind,589,4.8438030560271645,0.9147706281833616,JOY
long,585,4.776068376068376,0.8992499145299147,ANTICIPATION
arrival,158,4.7405063291139244,0.9286113924050632,ANTICIPATION
picnic,31,4.612903225806452,0.8993516129032257,JOY
avoid,81,4.382716049382716,0.7459419753086419,FEAR
memorable,624,4.966346153846154,0.8938975961538461,JOY
gorgeous,447,4.9284116331096195,0.9455489932885905,JOY
departed,35,4.6571428571428575,0.91228,SADNESS
competent,165,4.9393939393939394,0.9291151515151513,TRUST
cool,638,4.901253918495298,0.9263001567398119,CATE
terrible,51,3.176470588235294,0.29966078431372545,ANGER
impossible,67,4.492537313432836,0.7979208955223881,SADNESS
row,114,4.578947368421052,0.8724798245614034,ANGER
assured,77,4.571428571428571,0.8577259740259741,TRUST
arrive,95,4.505263157894737,0.8658957894736843,ANTICIPATION
related,42,4.904761904761905,0.9036071428571427,TRUST
feeling,210,4.814285714285714,0.873775238095238,ANGER
expertise,62,4.967741935483871,0.9264145161290321,TRUST
soothing,18,4.888888888888889,0.9647722222222223,JOY
