Variable,Coef_Baseline,StdErr_Baseline,PValue_Baseline,Coef_Interaction,PValue_Interaction
Intercept,4.7463,0.0136,0.0,4.7617,0.0
aspect_Scenery,0.0882,0.0088,0.0,0.0939,0.0
aspect_Pilot,0.0862,0.0083,0.0,0.0978,0.0
aspect_GroundStaff,0.0098,0.0088,0.2659,0.0063,0.4744
aspect_CabinComfort,-0.0268,0.0118,0.0227,-0.0201,0.0909
aspect_Safety,0.0767,0.0087,0.0,0.0908,0.0
aspect_Weather,0.0348,0.0106,0.0011,-0.0057,0.5122
aspect_PriceValue,-0.0231,0.0095,0.0149,-0.0276,0.0121
aspect_ServiceRecovery,-0.3172,0.0305,0.0,-0.5452,0.0
aspect_Companion,0.0559,0.0083,0.0,,
aspect_LifetimeExperience,0.0759,0.0067,0.0,0.0683,0.0
word_count_std,-0.0966,0.0083,0.0,-0.086,0.0
is_us_domestic,0.0218,0.0067,0.0012,0.024,0.0003
