word,canonical_lemma,chinese_translation,our_emotion_category,affect_type,frequency_21215,in_nrc_lexicon,nrc_8_emotions,nrc_polarities,nrc_raw_list
great,great,非常棒的 / 极好的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),11541,False,Unmapped in NRC,Unmapped in NRC,[]
amazing,amazing,极其震撼赞叹的 / 太棒了,Unclassified,E2_Appraisal (Stimulus/Service Attribute),6251,False,Unmapped in NRC,Unmapped in NRC,[]
beautiful,beautiful,美丽绝伦的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),3485,True,joy,positive,"['joy', 'positive']"
best,best,最棒的 / 顶级的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),3420,False,Unmapped in NRC,Unmapped in NRC,[]
friendly,friendly,友好的 / 亲切的,Unclassified,E1_E2_Candidate,3416,True,"anticipation, joy, trust",positive,"['anticipation', 'joy', 'positive', 'trust']"
worth,worth,物有所值的 / 绝对值得的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),2799,True,Unmapped in NRC,positive,['positive']
wonderful,wonderful,精彩美妙的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),2677,True,"joy, surprise, trust",positive,"['joy', 'positive', 'surprise', 'trust']"
good,good,良好的 / 棒的（服务与体验）,Unclassified,E2_Appraisal (Stimulus/Service Attribute),2635,True,"anticipation, joy, surprise, trust",positive,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
grand,grand,宏大的 / 壮丽的,Unclassified,E1_E2_Candidate,2534,False,Unmapped in NRC,Unmapped in NRC,[]
awesome,awesome,太棒了 / 极为赞叹的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),2530,False,Unmapped in NRC,Unmapped in NRC,[]
excellent,excellent,卓越极佳的 / 顶级的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),2284,True,"joy, trust",positive,"['joy', 'positive', 'trust']"
fantastic,fantastic,奇妙太棒的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),2026,False,Unmapped in NRC,Unmapped in NRC,[]
nice,nice,美好的 / 良好的,Unclassified,E1_E2_Candidate,1794,False,Unmapped in NRC,Unmapped in NRC,[]
fun,fun,乐趣十足的 / 充满乐趣的,Unclassified,E1_E2_Polysemous (State & Appraisal),1729,True,"anticipation, joy",positive,"['anticipation', 'joy', 'positive']"
spectacular,spectacular,壮观震撼的（高空景观）,Unclassified,E2_Appraisal (Stimulus/Service Attribute),1616,True,"anticipation, surprise",Unmapped in NRC,"['anticipation', 'surprise']"
incredible,incredible,难以置信震撼的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),1612,False,Unmapped in NRC,Unmapped in NRC,[]
better,better,更好的 / 更满意的（超过预期）,Unclassified,E1_E2_Candidate,1585,False,Unmapped in NRC,Unmapped in NRC,[]
perfect,perfect,完美的 / 无瑕的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),1474,True,"anticipation, joy, trust",positive,"['anticipation', 'joy', 'positive', 'trust']"
loved,loved,喜爱 / 热爱（体验）,Unclassified,E1_State (Direct Internal Affective State),1473,False,Unmapped in NRC,Unmapped in NRC,[]
comfortable,comfortable,舒适的 / 安心的,Unclassified,E1_E2_Polysemous (State & Appraisal),1446,False,Unmapped in NRC,Unmapped in NRC,[]
breathtaking,breathtaking,令人屏息震撼的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),1346,False,Unmapped in NRC,Unmapped in NRC,[]
helpful,helpful,热心有帮助的 / 周到解说,Unclassified,E2_Appraisal (Stimulus/Service Attribute),1157,True,"joy, trust",positive,"['joy', 'positive', 'trust']"
glad,glad,感到高兴放心的,Joy / Happiness,E1_State (Direct Internal Affective State),897,True,"anticipation, joy",positive,"['anticipation', 'joy', 'positive']"
interesting,interesting,引人入胜的 / 趣味盎然的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),886,True,Unmapped in NRC,positive,['positive']
cool,cool,酷的 / 爽快的,Unclassified,E1_E2_Candidate,652,True,Unmapped in NRC,positive,['positive']
special,special,特别的 / 珍贵的,Unclassified,E1_E2_Candidate,631,True,joy,positive,"['joy', 'positive']"
lucky,lucky,感到幸运的,Good Fortune / Joy,E1_State (Direct Internal Affective State),607,True,"joy, surprise",positive,"['joy', 'positive', 'surprise']"
kind,kind,亲切的 / 友善的,Unclassified,E1_E2_Candidate,587,True,"joy, trust",positive,"['joy', 'positive', 'trust']"
memorable,memorable,令人终生难忘的,Memorability / Joy,E1_State (Direct Internal Affective State),580,True,"joy, surprise, trust",positive,"['joy', 'positive', 'surprise', 'trust']"
happy,happy,高兴的 / 快乐的,Unclassified,E1_State (Direct Internal Affective State),555,True,"anticipation, joy, trust",positive,"['anticipation', 'joy', 'positive', 'trust']"
stunning,stunning,令人目眩震撼的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),552,False,Unmapped in NRC,Unmapped in NRC,[]
expensive,expensive,昂贵的 / 价格偏高的,Unclassified,E1_E2_Candidate,529,False,Unmapped in NRC,Unmapped in NRC,[]
nervous,nervous,紧张的 / 焦虑不安的,Unclassified,E1_State (Direct Internal Affective State),513,True,"anticipation, fear",negative,"['anticipation', 'fear', 'negative']"
fabulous,fabulous,绝妙的 / 极好的,Unclassified,E1_E2_Candidate,508,False,Unmapped in NRC,Unmapped in NRC,[]
disappointed,disappointed,感到失望的 / 遗憾的,Unclassified,E1_State (Direct Internal Affective State),488,True,"anger, disgust, sadness",negative,"['anger', 'disgust', 'negative', 'sadness']"
outstanding,outstanding,杰出出色的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),462,True,joy,"negative, positive","['joy', 'negative', 'positive']"
enjoyable,enjoyable,令人愉快的 / 趣味盎然的,Unclassified,E1_E2_Candidate,460,False,Unmapped in NRC,Unmapped in NRC,[]
unforgettable,unforgettable,令人难忘的 / 铭心的,Unclassified,E1_E2_Candidate,459,False,Unmapped in NRC,Unmapped in NRC,[]
love,love,喜爱 / 极度热爱的,Love / Affection,E1_State (Direct Internal Affective State),450,True,joy,positive,"['joy', 'positive']"
unique,unique,独一无二的 / 独特的,Unclassified,E1_E2_Candidate,435,True,surprise,positive,"['positive', 'surprise']"
gorgeous,gorgeous,极其漂亮的 / 绚丽的,Unclassified,E1_E2_Candidate,414,True,joy,positive,"['joy', 'positive']"
scenic,scenic,风景优美的 / 宜人的,Unclassified,E1_E2_Candidate,400,False,Unmapped in NRC,Unmapped in NRC,[]
bad,bad,糟糕的 / 坏的,Unclassified,E1_E2_Candidate,373,True,"anger, disgust, fear, sadness",negative,"['anger', 'disgust', 'fear', 'negative', 'sadness']"
exciting,exciting,令人兴奋刺激的,Excitement,E2_Appraisal (Stimulus/Service Attribute),324,True,"anticipation, joy, surprise",positive,"['anticipation', 'joy', 'positive', 'surprise']"
incredibly,incredibly,难以置信地 / 极其,Unclassified,E1_E2_Candidate,315,False,Unmapped in NRC,Unmapped in NRC,[]
pleasant,pleasant,令人愉快的 / 宜人的,Unclassified,E1_E2_Candidate,306,True,"anticipation, joy, surprise, trust",positive,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
awe,awe,敬畏 / 震撼,Unclassified,E1_State (Direct Internal Affective State),304,False,Unmapped in NRC,Unmapped in NRC,[]
unbelievable,unbelievable,难以置信的 / 震撼的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),302,True,Unmapped in NRC,negative,['negative']
funny,funny,幽默风趣的,Unclassified,E1_E2_Candidate,301,False,Unmapped in NRC,Unmapped in NRC,[]
plenty,plenty,丰富的 / 充足的,Unclassified,E1_E2_Candidate,298,False,Unmapped in NRC,Unmapped in NRC,[]
hard,hard,困难的 / 艰辛的,Unclassified,E1_E2_Candidate,297,False,Unmapped in NRC,Unmapped in NRC,[]
regret,regret,遗憾 / 后悔,Regret,E1_State (Direct Internal Affective State),293,True,sadness,negative,"['negative', 'sadness']"
magnificent,magnificent,壮丽的 / 宏伟震撼的（Awe）,Unclassified,E2_Appraisal (Stimulus/Service Attribute),282,True,"anticipation, joy, surprise, trust",positive,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
exceptional,exceptional,卓越的 / 杰出的（顶级评价）,Unclassified,E1_E2_Candidate,276,False,Unmapped in NRC,Unmapped in NRC,[]
sick,sick,晕机的 / 身体不适的,Unclassified,E1_E2_Candidate,274,True,"disgust, sadness",negative,"['disgust', 'negative', 'sadness']"
lovely,lovely,令人愉悦的 / 可爱的,Unclassified,E1_E2_Candidate,266,True,"anticipation, joy, sadness, surprise, trust",positive,"['anticipation', 'joy', 'positive', 'sadness', 'surprise', 'trust']"
terrific,terrific,极好的 / 太棒了,Unclassified,E1_E2_Candidate,260,True,sadness,Unmapped in NRC,['sadness']
calm,calm,镇定 / 平息情绪的,Calmness,E1_State (Direct Internal Affective State),259,True,Unmapped in NRC,positive,['positive']
impressed,impressed,感到深深被折服/留下深刻印象,Admiration / Impression,E1_State (Direct Internal Affective State),255,False,Unmapped in NRC,Unmapped in NRC,[]
unfortunately,unfortunately,不幸的是 / 遗憾的是,Unclassified,E1_E2_Candidate,240,False,Unmapped in NRC,Unmapped in NRC,[]
fortunate,fortunate,幸运的 / 幸运地,Unclassified,E1_E2_Candidate,235,True,Unmapped in NRC,positive,['positive']
efficient,efficient,高效省心的,Unclassified,E1_E2_Candidate,215,True,"anticipation, trust",positive,"['anticipation', 'positive', 'trust']"
welcome,welcome,受欢迎的 / 感受温暖的,Unclassified,E1_E2_Candidate,212,False,Unmapped in NRC,Unmapped in NRC,[]
entertaining,entertaining,引人入胜生动有趣的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),210,True,"anticipation, joy",positive,"['anticipation', 'joy', 'positive']"
inspiring,inspiring,令人启发震慑的,Inspiration,E2_Appraisal (Stimulus/Service Attribute),210,False,Unmapped in NRC,Unmapped in NRC,[]
cheaper,cheaper,更实惠的 / 较便宜的,Unclassified,E1_E2_Candidate,208,False,Unmapped in NRC,Unmapped in NRC,[]
phenomenal,phenomenal,现象级震撼的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),200,False,Unmapped in NRC,Unmapped in NRC,[]
superb,superb,极好精湛的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),196,True,Unmapped in NRC,positive,['positive']
surprised,surprised,感到惊喜惊讶的,Unclassified,E1_State (Direct Internal Affective State),196,True,surprise,Unmapped in NRC,['surprise']
