word,chinese_translation,affect_type,frequency,review_count,example_context
assured,安抚 / 确信,E1_State (Direct Internal Affective State),12,12,"review_5f25933d61b76b7852dc85ff :: We booked Seawind on the cruise dock since we were uncertain about the weather.  We were assured the views would be good at Misty Fiords, so off we went!  The shuttle to and from t..."
fair,公道的 / 划算的,E2_Appraisal (Stimulus/Service Attribute),10,10,"review_028c21bc90a0dfe1f6761d46 :: We chose plane due to size of the Grand Canyon. Very happy with the choice as plane gives better coverage. Yes you can get helicopter rides covering same distance, which are 2x the..."
negative,负面体验 / 消极评价,E2_Appraisal (Stimulus/Service Attribute),10,9,"review_94c0e25e28df8a8368c9de83 :: only negative thing was the late pick up. there was a delay of about forty minutes.
other than that the experience was great.
the seaplane was great, something we havent done befor..."
accessible,易到达的 / 便捷省心的,E2_Appraisal (Stimulus/Service Attribute),9,9,review_01d0b19d3759aa76d580639d :: Took a 1 hr flight around island of Kauai around noon with 4 other family members during our stay on 4/14/2010. So glad we decided to do this as a family. Saw so many waterfalls an...
capable,有能力的 / 熟练精湛的,E2_Appraisal (Stimulus/Service Attribute),9,9,"review_92808e0670a773acd1539ab9 :: Amazing unforgettable experience. Glacial landing is incredible and pilot is super capable and reliable. Would do this a million times. 
K2 has a long line checking in but were ver..."
handle,善于处理 / 掌控感,E2_Appraisal (Stimulus/Service Attribute),9,9,"review_a621d61d85c6d1941fd94167 :: Our Misty Fjords tour was a boat ride from Ketchican to the fjords, with a return by small plane.  The guides on the boat were informative and nice.  

The pilot seemed highly skil..."
convenient,便捷省心的,E2_Appraisal (Stimulus/Service Attribute),8,8,"review_57e504ac91381786433046cd :: Fantastic views and great experience! Easy, convenient to get to. Terrific, knowledge and friendly pilot. Do it!..."
pride,自豪 / 骄傲,E1_State (Direct Internal Affective State),8,8,"review_e4cc1730f464a4d0c89f027d :: We took the Pride of AMERICA Cruise around the islands and this was far and away the best of the five excursions we took.  Our pilot, Kevin, was fantastic.  I would do this again t..."
appreciation,感激 / 欣赏,E1_State (Direct Internal Affective State),7,7,"review_2a67dff0977ab1e1a6ec02e2 :: Kauai really can only be appreciated in its entirety from the air.  Ellen's ""Wings Over Kauai"" accomplishes the mission with safety, competence, and a keen appreciation for the cus..."
bump,颠簸不适的,E2_Appraisal (Stimulus/Service Attribute),7,7,"review_1e4f30778888d2ffd6e3bf13 :: Great way to see the island of Kauai. Booked this for the first day we got there, Bruce is a great host typical of Kauai hospitality. He shares his knowledge of the plane, places t..."
inaccessible,难以到达的 / 偏远秘境感,E2_Appraisal (Stimulus/Service Attribute),7,7,"review_49d3db9eba1fafce587178d0 :: Although we had to reschedule the tour to a morning due to high wind, this tour exceeds all my expectations. Canyonlands is notoriously inaccessible due to the lack of paved roads ..."
intimate,温馨亲切的,E2_Appraisal (Stimulus/Service Attribute),7,7,"review_ccb25da07452abe3256cab6b :: I was in Kauai first week of Sept. with my wife for her 30th birthday!!!  Wanted to do a fly over of island.  Everyone suggested a helicopter, but I found it hard to pay $175 to $2..."
passionate,充满激情的,E2_Appraisal (Stimulus/Service Attribute),7,6,"review_bcf320da42532060b35e73fc :: Absolutely incredible experience flying over the stunning landscapes of Kauai! From breathtaking views of the Na Pali Coast to the vibrant greenery of Waimea Canyon, every moment o..."
quieter,更安静宁静的,E2_Appraisal (Stimulus/Service Attribute),7,7,review_01d0b19d3759aa76d580639d :: Took a 1 hr flight around island of Kauai around noon with 4 other family members during our stay on 4/14/2010. So glad we decided to do this as a family. Saw so many waterfalls an...
advantage,优势 / 极佳点,E2_Appraisal (Stimulus/Service Attribute),6,6,"review_c602155441c88a5da2dca24a :: Company was referred to us by another, who could not accommodate plus size. These folks picked up up at Anchor Cove Mall (free shuttle from cruise ship), fast ride to airport. 
Eri..."
cared,得到无微不至关怀的,E1_State (Direct Internal Affective State),6,6,"review_b2efaa9291444575c3c228d3 :: Had a beautiful flight aboard from Ketchikan, AK to Misty Fijords In a well cared for DeHaviland Beaver Airplane.  The entire staff at the Ketchikan office took very good care of u..."
coolest,最酷爽震撼的,E2_Appraisal (Stimulus/Service Attribute),6,6,review_bbb1066a4cdd83c8fff0d4a4 :: On my first trip to Alaska I had an amazing flightseeing trip with the folks at Talkeetna Air.  The flight and glacier landing were 2 of the coolest things I have ever done!...
cramped,拥挤狭窄不适的,E2_Appraisal (Stimulus/Service Attribute),6,5,review_8405aa4c5aaa1a8476e0746a :: We took the Grand canyon Airlines scenic tours from the Papillon Helicopter rides.  We opted for the all day airplane ride vs the helicopter as we wanted to be able to walk around ...
delight,欣喜 / 愉快,E1_State (Direct Internal Affective State),6,6,"review_52d182aff567976e01729b2a :: Our first experience with small aircraft in Alaska was fantastic. The flight was so magnificent and the views defy description. Shiloh was our southern dream. From Jacksonville, he..."
encouraged,深受鼓舞的,E1_State (Direct Internal Affective State),6,5,review_6d2e6bb73c4b8bc5c6d144b0 :: We were picked up at our cruise ship dock by a driver with a van and taken to the take-off site.  Senior pilot Mike took us on an approximately 70 minute round-trip into the fiords...
enjoys,喜爱 / 乐在其中,E1_State (Direct Internal Affective State),6,6,"review_01a15aeaba8572c72e48282b :: We did so many amazing things during our time at the Grand Canyon, but this was by far the best.  Our pilot, Dave, was fantastic.  He really took the time to point out the many poi..."
stable,平稳安心的,E2_Appraisal (Stimulus/Service Attribute),6,6,"review_204946c26466eb6ee99eca6e :: I'd been hoping to rent a single engine airplane during our recent trip to Kauai.  I'm a private pilot, and my wonderful wife was looking for a way to see the island while allowing..."
convinced,深信不疑的 / 心服口服,E1_State (Direct Internal Affective State),5,5,"review_8521974e4abf03fc17012e4e :: This experience was amazing.  By far my favorite thing we did in Alaska!  Everything was great!  I felt very safe with our pilot, and he was kind and professional.  We had a clear ..."
delicious,美味愉悦的,E2_Appraisal (Stimulus/Service Attribute),5,5,"review_ee1e6eb8bb9bfbf0a568f295 :: We did the Grand Canyon Scenic Airlines ""Scenic Canyon River Adventure"" 12.5 hour full day tour with the entire family. The all day adventure from beginning to end was incredible. ..."
gentle,平稳柔和的,E2_Appraisal (Stimulus/Service Attribute),5,4,review_26d7697caed5463ed13d62a6 :: Our pilot was provided a gentle ride with incredible views. Many of the sights could not have been from the rim. He was knowledgeable about the formations and history. I would defi...
greater,更宏大震撼的,E2_Appraisal (Stimulus/Service Attribute),5,5,"review_d0b50a89028b16af69ba8a3e :: The greater bay area Seaplane tour enables its passengers to get a spectacular view from the air, to see the scale and beauty of San Francisco. My family members and I thoroughly e..."
