word,canonical_lemma,frequency_21215,chinese_translation,source_type,nrc_category,vader_score,target_experience_object,exact_vader_score,polarity_group
great,great,11541,非常棒的 / 极好的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,3.1,5. Overall Tourism Experience Appraisal (总体观光体验评价),3.1,Positive (V > 0)
amazing,amazing,6251,极其震撼赞叹的 / 太棒了,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.8,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.8,Positive (V > 0)
beautiful,beautiful,3485,美丽绝伦的,Direct NRC Included (N=358),Joy (喜悦),2.9,1. Aerial Scenery & Nature Views (高空自然景观),2.9,Positive (V > 0)
best,best,3420,最棒的 / 顶级的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,3.2,5. Overall Tourism Experience Appraisal (总体观光体验评价),3.2,Positive (V > 0)
friendly,friendly,3416,友好的 / 亲切的,Direct NRC Included (N=358),Joy (喜悦),2.2,"2. Pilot, Crew & Guide Service (飞行员与解说服务)",2.2,Positive (V > 0)
worth,worth,2799,物有所值的 / 绝对值得的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),0.9,"4. Booking, Price & Value (行程预订与性价比)",0.9,Positive (V > 0)
wonderful,wonderful,2677,精彩美妙的,Direct NRC Included (N=358),Joy (喜悦),2.7,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.7,Positive (V > 0)
good,good,2635,良好的 / 棒的（服务与体验）,Direct NRC Included (N=358),Joy (喜悦),1.9,3. Flight Riding & Aircraft Feeling (飞行体感与机型),1.9,Positive (V > 0)
awesome,awesome,2530,太棒了 / 极为赞叹的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,3.1,5. Overall Tourism Experience Appraisal (总体观光体验评价),3.1,Positive (V > 0)
excellent,excellent,2284,卓越极佳的 / 顶级的,Direct NRC Included (N=358),Joy (喜悦),2.7,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.7,Positive (V > 0)
fantastic,fantastic,2026,奇妙太棒的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.6,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.6,Positive (V > 0)
nice,nice,1794,美好的 / 良好的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.8,5. Overall Tourism Experience Appraisal (总体观光体验评价),1.8,Positive (V > 0)
fun,fun,1729,乐趣十足的 / 充满乐趣的,Direct NRC Included (N=358),Joy (喜悦),2.3,3. Flight Riding & Aircraft Feeling (飞行体感与机型),2.3,Positive (V > 0)
spectacular,spectacular,1616,壮观震撼的（高空景观）,Direct NRC Included (N=358),Surprise (惊喜),0.0,1. Aerial Scenery & Nature Views (高空自然景观),0.0,Zero / Neutral (V = 0)
incredible,incredible,1612,难以置信震撼的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
better,better,1585,更好的 / 更满意的（超过预期）,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.9,5. Overall Tourism Experience Appraisal (总体观光体验评价),1.9,Positive (V > 0)
perfect,perfect,1474,完美的 / 无瑕的,Direct NRC Included (N=358),Joy (喜悦),2.7,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.7,Positive (V > 0)
loved,loved,1473,喜爱 / 热爱（体验）,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.9,3. Flight Riding & Aircraft Feeling (飞行体感与机型),2.9,Positive (V > 0)
comfortable,comfortable,1446,舒适的 / 安心的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.3,3. Flight Riding & Aircraft Feeling (飞行体感与机型),2.3,Positive (V > 0)
breathtaking,breathtaking,1346,令人屏息震撼的,Direct NRC Included (N=358),Class 3 Low-Altitude Domain Lexicon (N=17),2.0,1. Aerial Scenery & Nature Views (高空自然景观),2.0,Positive (V > 0)
helpful,helpful,1157,热心有帮助的 / 周到解说,Direct NRC Included (N=358),Joy (喜悦),1.8,"2. Pilot, Crew & Guide Service (飞行员与解说服务)",1.8,Positive (V > 0)
glad,glad,897,感到高兴放心的,Direct NRC Included (N=358),Joy (喜悦),2.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.0,Positive (V > 0)
interesting,interesting,886,引人入胜的 / 趣味盎然的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),1.7,5. Overall Tourism Experience Appraisal (总体观光体验评价),1.7,Positive (V > 0)
cool,cool,652,酷的 / 爽快的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),1.3,3. Flight Riding & Aircraft Feeling (飞行体感与机型),1.3,Positive (V > 0)
special,special,631,特别的 / 珍贵的,Direct NRC Included (N=358),Joy (喜悦),1.7,5. Overall Tourism Experience Appraisal (总体观光体验评价),1.7,Positive (V > 0)
lucky,lucky,607,感到幸运的,Direct NRC Included (N=358),Joy (喜悦),1.8,5. Overall Tourism Experience Appraisal (总体观光体验评价),1.8,Positive (V > 0)
kind,kind,587,亲切的 / 友善的,Direct NRC Included (N=358),Joy (喜悦),2.4,"2. Pilot, Crew & Guide Service (飞行员与解说服务)",2.4,Positive (V > 0)
memorable,memorable,580,令人终生难忘的,Direct NRC Included (N=358),Joy (喜悦),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
happy,happy,555,高兴的 / 快乐的,Direct NRC Included (N=358),Joy (喜悦),2.7,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.7,Positive (V > 0)
stunning,stunning,552,令人目眩震撼的,Direct NRC Included (N=358),Class 3 Low-Altitude Domain Lexicon (N=17),1.6,1. Aerial Scenery & Nature Views (高空自然景观),1.6,Positive (V > 0)
nervous,nervous,513,紧张的 / 焦虑不安的,Direct NRC Included (N=358),Fear (恐惧),-1.1,3. Flight Riding & Aircraft Feeling (飞行体感与机型),-1.1,Negative (V < 0)
fabulous,fabulous,508,绝妙的 / 极好的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.4,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.4,Positive (V > 0)
disappointed,disappointed,488,感到失望的 / 遗憾的,Direct NRC Included (N=358),Sadness (悲伤),-2.1,"4. Booking, Price & Value (行程预订与性价比)",-2.1,Negative (V < 0)
outstanding,outstanding,462,杰出出色的,Direct NRC Included (N=358),Joy (喜悦),3.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),3.0,Positive (V > 0)
enjoyable,enjoyable,460,令人愉快的 / 趣味盎然的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.9,5. Overall Tourism Experience Appraisal (总体观光体验评价),1.9,Positive (V > 0)
unforgettable,unforgettable,459,令人难忘的 / 铭心的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
love,love,450,喜爱 / 极度热爱的,Direct NRC Included (N=358),Joy (喜悦),3.2,5. Overall Tourism Experience Appraisal (总体观光体验评价),3.2,Positive (V > 0)
unique,unique,435,独一无二的 / 独特的,Direct NRC Included (N=358),Surprise (惊喜),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
gorgeous,gorgeous,414,极其漂亮的 / 绚丽的,Direct NRC Included (N=358),Joy (喜悦),3.0,1. Aerial Scenery & Nature Views (高空自然景观),3.0,Positive (V > 0)
scenic,scenic,400,风景优美的 / 宜人的,Direct NRC Included (N=358),Class 3 Low-Altitude Domain Lexicon (N=17),0.0,1. Aerial Scenery & Nature Views (高空自然景观),0.0,Zero / Neutral (V = 0)
bad,bad,373,糟糕的 / 坏的,Direct NRC Included (N=358),Fear (恐惧),-2.5,5. Overall Tourism Experience Appraisal (总体观光体验评价),-2.5,Negative (V < 0)
exciting,exciting,324,令人兴奋刺激的,Direct NRC Included (N=358),Joy (喜悦),2.2,3. Flight Riding & Aircraft Feeling (飞行体感与机型),2.2,Positive (V > 0)
incredibly,incredibly,315,难以置信地 / 极其,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
pleasant,pleasant,306,令人愉快的 / 宜人的,Direct NRC Included (N=358),Joy (喜悦),2.3,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.3,Positive (V > 0)
awe,awe,304,敬畏 / 震撼,Direct NRC Included (N=358),Class 3 Low-Altitude Domain Lexicon (N=17),0.0,1. Aerial Scenery & Nature Views (高空自然景观),0.0,Zero / Neutral (V = 0)
unbelievable,unbelievable,302,难以置信的 / 震撼的,Direct NRC Included (N=358),Negative Polarity Only (仅负向),0.8,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.8,Positive (V > 0)
funny,funny,301,幽默风趣的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.9,5. Overall Tourism Experience Appraisal (总体观光体验评价),1.9,Positive (V > 0)
plenty,plenty,298,丰富的 / 充足的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
hard,hard,297,困难的 / 艰辛的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,-0.4,5. Overall Tourism Experience Appraisal (总体观光体验评价),-0.4,Negative (V < 0)
regret,regret,293,遗憾 / 后悔,Direct NRC Included (N=358),Sadness (悲伤),-1.8,5. Overall Tourism Experience Appraisal (总体观光体验评价),-1.8,Negative (V < 0)
magnificent,magnificent,282,壮丽的 / 宏伟震撼的（Awe）,Direct NRC Included (N=358),Joy (喜悦),2.9,1. Aerial Scenery & Nature Views (高空自然景观),2.9,Positive (V > 0)
exceptional,exceptional,276,卓越的 / 杰出的（顶级评价）,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价),0.0,Zero / Neutral (V = 0)
sick,sick,274,晕机的 / 身体不适的,Direct NRC Included (N=358),Sadness (悲伤),-2.3,3. Flight Riding & Aircraft Feeling (飞行体感与机型),-2.3,Negative (V < 0)
lovely,lovely,266,令人愉悦的 / 可爱的,Direct NRC Included (N=358),Joy (喜悦),2.8,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.8,Positive (V > 0)
terrific,terrific,260,极好的 / 太棒了,Direct NRC Included (N=358),Sadness (悲伤),2.1,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.1,Positive (V > 0)
calm,calm,259,镇定 / 平息情绪的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),1.3,5. Overall Tourism Experience Appraisal (总体观光体验评价),1.3,Positive (V > 0)
impressed,impressed,255,感到深深被折服/留下深刻印象,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.1,5. Overall Tourism Experience Appraisal (总体观光体验评价),2.1,Positive (V > 0)
unfortunately,unfortunately,240,不幸的是 / 遗憾的是,Direct NRC Included (N=358),Class 2 Colloquial Superlative,-1.4,5. Overall Tourism Experience Appraisal (总体观光体验评价),-1.4,Negative (V < 0)
