user_name,user_location,rating,rating_text,review_title,review_text,trip_type,helpful_votes,published_date,tour_name,has_photo,language,is_english,user_city,user_state,user_country,is_us_domestic,review_word_count,review_char_count,title_word_count,exclamation_count,uppercase_ratio,sentiment_polarity,sentiment_pos,sentiment_neg,safety_assurance,fear_anxiety,thrill_arousal,flow_experience,fear_trans,safety_mention,helicopter_comparison,price_value_mention,coast_mention,canyon_mention,waterfall_mention,wildlife_mention,weather_mention,flight_crew_mention,ground_staff_mention,companion_mention,pilot_mention,staff_service_mention,guide_mention,pilot_service_mention,sentiment_pre_but,sentiment_post_but,has_adversative_conjunction,discourse_shift_pos2neg,discourse_shift_neg2pos,pilot_sentiment,pilot_pos,pilot_neg,weather_sentiment,weather_pos,weather_neg,ground_staff_sentiment,ground_staff_pos,ground_staff_neg,price_value_sentiment,price_value_pos,price_value_neg,scenery_sentiment,scenery_pos,scenery_neg,special_occasion,aircraft_type
Scovacationers,"Lake Orion, MI",5,Jul 2022,Views of Kauai That You Can't See From the Ground,"Air Ventures was very professional from start to finish. Our pilot gave us a wonderful tour and pointed out waterfalls and other beautiful sights. Motion sickness was a problem for some in our party, even though they had taken Dramamine, so know ahead of time that this can happen. But the views are spectacular, and we all felt very safe.",Unknown,0,2022-07-29, TripadvisorReviewScraper,0,English,1,Lake Orion,MI,United States,1,60,339,10,0,0.017699115044247787,0.8438,0.166,0.028,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0.8225,0.6474,1,0,0,0.8225,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.6474,1,0,0,Other/Unspecified
MPDE,"San Francisco, CA",5,Dec 2018 • Couples,Surprise birthday present for my husband - seaplane tour of SF!,What an amazing way to experience SF! A whole new perspective. We absolutely loved our ride! Thank you!,Couples,0,2018-12-11,36_854_Seaplane Adventures_2025-03-04,0,English,1,San Francisco,CA,United States,1,18,103,11,3,0.05825242718446602,0.9075,0.448,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9075,0.9075,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,Airplane
Henry M,,5,Jul 2023 • Family,Mountain trifecta - flawless experience,"Booking was easy and straightforward.  Communications were excellent.  Staff was ready early.  Pilot was courteous, professional, and provided a safe and comfortable ride.  Pilot was entertaining and engaging for both our older passengers and 11 year old child.  Fantastic family experience.

Aircraft appeared well-maintained.  Also, very roomy, even for two adult males in the backseat at 6'2"" & 6'4"".

I will happily book again with Envi Adventures in the future.

Outside of Envi's control, but adding to the experience: very calm air, beautiful day, incredible Cascade mountain scenery.",Family,0,2023-07-20,20-459_Envi Adventures_2025-02-27,0,English,1,,,Unknown,0,88,591,5,0,0.023688663282571912,0.9785,0.304,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0.9855,0.8789,1,0,0,0.7538499999999999,1,0,0.0,0,0,0.3612,1,0,0.0,0,0,0.8789,1,0,0,Other/Unspecified
mdc1947m,howell nj,5,Jun 2012 • Couples,FRIST TIME FLYER,"Best pilot  great plane ride .....saw some wild life...the staff  young lady from new jeresy was very helpful.
when we return we will fly the Talkeetna range again!",Couples,0,2013-01-06,38_77_Alaska Bush Float Plane Service_2025-03-04,1,English,1,howell nj,,Unknown,0,28,164,3,1,0.012195121951219513,0.9133,0.319,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0.9133,0.9133,0,0,0,0.8519,1,0,0.0,0,0,0.4754,1,0,0.0,0,0,0.0,0,0,0,Airplane
Moonron1,,5,Jun 2019 • Couples,Amazing!,"Pilot was fabulous, kudos to Kevin. Our photos were spectacular with this once in a lifetime experience. The weather was perfect for viewing all of the awesome sights. Definitely the highlight of our Alaskan journey.",Couples,0,2019-06-29,K2 Aviation,0,English,1,,,Unknown,0,35,216,1,0,0.027777777777777776,0.9618,0.412,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0.9618,0.9618,0,0,0,0.7717,1,0,0.8316,1,0,0.0,0,0,0.0,0,0,0.0,0,0,1,Other/Unspecified
Dave A,"Eugene, OR",5,Apr 2023,airplane tour over the island,"We had a wonderful time.  The pilot and helper were very nice.
The pilot explained what we were seeing and because it was such a nice day he showed us a few areas that are not usually seen due to clouds.
We enjoyed the view and would definately do it again",Unknown,0,2023-04-28, TripadvisorReviewScraper,0,English,1,Eugene,OR,United States,1,51,256,5,0,0.015625,0.9391,0.266,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0.9391,0.9391,0,0,0,0.5456,1,0,0.4215,1,0,0.0,0,0,0.0,0,0,0.5106,1,0,0,Other/Unspecified
Wilson C,"San Jose, CA",5,,Fantastic way to see Kauai,"It was my first trip to Kauai and this was certainly one of the many highlights of my trip. 

I found Wings Over Kauai on this site, and after my experience, I think they deserve all the positive accolades. 

My whole experience with Wings Over Kauai was positive. 

Booking - I procrastinated, and didn't book the tour until the day before. I was sitting at the Honolulu airport waiting for my connecting flight to Kauai. I sent in a request, and by the time I landed in Kauai, Maren has already confirmed my reservation for the next day. 

Pre-flying + Flying - I didn't get to meet Ellen, but Maren and Bruce are super nice and very friendly. They are great guides, very knowledgeable. They definitely want to make sure you have a memorable experience, not just with the tour itself, but also with your trip to Kauai. You are not flying with too many people (I think they said 4 people max). Everyone gets a seat with a good view! The tour was one of the first things I did on my trip, and because I didn't do much preparation, the tour definitely helped orient me and helped me plan out the places I should check out.

Post-flying - It was great to receive a personal follow-up email (not a standardized one) from Maren with photos. 

Cost - I didn't do much price comparison, but it was definitely on the lower side. 

Everyone who is going to Kauai should definitely set aside time to take a helicopter/plane tour, and I highly recommend Wings Over Kauai. :-)",Unknown,0,2010-12-11,Wings Over Kauai Air Tour,0,English,1,San Jose,CA,United States,1,267,1465,5,1,0.032081911262798635,0.9961,0.216,0.01,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0.8625,0.9954,1,0,0,0.9412,1,0,0.0,0,0,0.0,0,0,0.1901,1,0,0.4404,1,0,0,Airplane
jessy thomas,"Fort Worth, TX",5,Jun 2018 • Family,Float plane misty fjords experience,"Awesome misty fjords experience up close with experienced and wonderful crew. We were able to even spot multiple whales, landed in an awesome scenic place. One caution though is don't fly right after a meal, as some of us didn't do well with that. Overall we were welcomed and entertained very well.",Family,0,2018-06-30,SeaWind Aviation,0,English,1,Fort Worth,TX,United States,1,52,299,5,0,0.013377926421404682,0.9368,0.263,0.056,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0.9169,0.3553,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.6249,1,0,0,Other/Unspecified
aus_traveller_2010,"Sydney, Australia",5,Apr 2017 • Family,Enjoyable,"With a young family we found our options for aerial tours was limited as most helicopter tours would not take a child under 2 years.  While we didn't take our young child on the tour in the end, the search for a aerial tour led us to Wings over Kauai. (incidently, they did indicate they could take a child under 2 yrs)  We took the private flight in the smaller plane and enjoyed the flight and knowledgeable  commentary of our pilot.  The only negative of the flight if you are a photo buff  was maybe the plane is not ideal if you wanted high quality photos through the  windows which are not ideal for photography.. but we dont see the world enough with our own eyes these days anyway! Good excuse to just enjoy the view and company instead of looking through a digital screen which we all tend to be guilty of more and more these days.",Family,0,2017-04-30,Wings Over Kauai Air Tour,0,English,1,Sydney,,Australia,0,158,840,1,1,0.008333333333333333,0.4149,0.073,0.069,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,-0.7815,0.7345,1,0,1,0.5106,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.5574,1,0,0,Airplane
Telvi M,,5,Jul 2021 • Friends,Breathtaking!,The views were BREATHTAKING. Eric made the experience so much more wonderful. I can’t recommend this enough!,Friends,0,2021-07-02,32_2137_Maui Plane Rides_2025-03-04,0,English,1,,,Unknown,0,17,108,1,1,0.1388888888888889,0.901,0.459,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.901,0.901,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.4588,1,0,0,Airplane
